Date,African Country,Temperature (°C),Humidity (%),NDVI,Soil Moisture (%),Livestock Density (per km²),Disease Incidence,Vector Population (per km²),Vaccination Rate (%),Outbreak Risk (1-5),Disease Name,Symptoms
10/31/2011,South Africa,30.05358046,68.24579409,0.83669792,34.62583021,54.62178725,506,325.4967988,91.12380846,4,Rift Valley Fever,Nasal discharge and salivation
1/31/2018,South Africa,21.87349536,78.86810896,0.358943389,7.987238383,87.42163775,606,73.73252755,67.41866852,3,Rift Valley Fever,Nasal discharge and salivation
3/31/2010,Tanzania,20.13904261,64.69680846,0.634046191,26.96978186,26.68291991,538,308.6856863,64.05485883,5,East Coast Fever,Enlarged lymph nodes
10/31/2019,Tanzania,27.40317401,75.27257245,0.576510992,11.36748457,97.13476627,591,320.3614805,88.23336622,5,East Coast Fever,Enlarged lymph nodes
7/31/2011,Kenya,25.69680989,33.10090327,0.602320312,16.97286121,43.09613694,952,219.865001,78.86717781,1,Lumpy Skin Disease,Nodules on the skin
11/30/2011,Ethiopia,21.02957502,73.56548002,0.148862368,9.462103182,63.71434376,256,240.1601854,89.01020431,1,Lumpy Skin Disease,Nodules on the skin
6/30/2012,Ethiopia,24.84110543,34.70738288,0.487618388,27.44016715,27.95842533,162,22.7871672,66.71878735,5,Anthrax,Bloody discharge
3/31/2013,Kenya,21.8057954,62.95359988,0.509341954,21.17020313,21.4357059,538,111.0600013,62.83555369,5,Rift Valley Fever,Nasal discharge and salivation
12/31/2018,Ethiopia,29.85035388,78.41008436,0.141458829,21.52234308,4.903254325,213,352.9874115,37.18544517,4,Avian Influenza,Respiratory distress
3/31/2019,Kenya,25.61544725,52.32108515,0.150699976,32.14346658,18.87695917,552,279.5119845,70.42822026,4,Avian Influenza,Respiratory distress
1/31/2012,Kenya,38.16531772,60.9780209,0.744961024,32.9053378,14.79625133,891,165.1797015,88.2010563,4,East Coast Fever,Enlarged lymph nodes
8/31/2020,Ethiopia,26.3384401,35.47720061,0.244986453,28.06233797,12.93612169,864,9.672515303,15.26091527,1,Avian Influenza,Respiratory distress
3/31/2019,Kenya,25.61544725,52.32108515,0.150699976,32.14346658,18.87695917,552,279.5119845,70.42822026,4,Avian Influenza,Respiratory distress
4/30/2021,Tanzania,39.801077,49.71987272,0.230924754,11.24906317,79.28159332,588,63.74501439,11.42389826,3,Rift Valley Fever,Nasal discharge and salivation
10/31/2018,South Africa,30.05274186,40.64637263,0.484912081,11.67407022,98.77913279,391,267.2224507,60.09733521,4,Rift Valley Fever,Nasal discharge and salivation
12/31/2021,Ethiopia,25.87183689,62.97173294,0.753279552,18.90142354,3.105671674,89,78.92575855,68.07608538,4,Anthrax,Bloody discharge
12/31/2015,South Africa,37.9422052,39.77606562,0.222287311,5.162120805,6.091155535,851,256.7949874,70.30864311,5,Anthrax,Bloody discharge
9/30/2020,South Africa,23.38985493,49.15881826,0.153197014,5.948359738,8.618366961,1,162.2421979,22.75969542,2,Rift Valley Fever,Nasal discharge and salivation
12/31/2018,Ethiopia,29.85035388,78.41008436,0.141458829,21.52234308,4.903254325,213,352.9874115,37.18544517,4,Avian Influenza,Respiratory distress
5/31/2010,South Africa,28.34822006,57.93588109,0.253831215,9.874522543,59.43919931,848,150.1191073,84.41549953,3,Lumpy Skin Disease,Nodules on the skin
3/31/2010,Tanzania,20.13904261,64.69680846,0.634046191,26.96978186,26.68291991,538,308.6856863,64.05485883,5,East Coast Fever,Enlarged lymph nodes
12/31/2020,South Africa,33.92059593,64.40627329,0.773463021,28.51624603,72.75191038,744,127.8580654,70.82571206,5,Anthrax,Bloody discharge
8/31/2018,Uganda,32.62277252,78.20885582,0.564990577,36.43190013,49.4530714,101,303.1635407,91.53019943,5,Avian Influenza,Respiratory distress
4/30/2015,Uganda,24.83704582,66.95100588,0.390465837,37.22946589,48.12898982,526,233.4405907,68.92237733,4,East Coast Fever,Enlarged lymph nodes
10/31/2018,South Africa,30.05274186,40.64637263,0.484912081,11.67407022,98.77913279,391,267.2224507,60.09733521,4,Rift Valley Fever,Nasal discharge and salivation
2/28/2018,Uganda,27.35431606,46.91128649,0.440349151,39.89059881,73.49026375,165,225.2674838,56.36576533,3,Lumpy Skin Disease,Nodules on the skin
10/31/2010,South Africa,26.46405864,32.24089132,0.170962027,32.60090239,44.17652638,988,306.516735,64.44585304,3,Lumpy Skin Disease,Nodules on the skin
5/31/2022,Uganda,30.22684798,38.57950092,0.698087504,5.455067323,99.79547694,105,489.3370124,65.54402051,5,Rift Valley Fever,Nasal discharge and salivation
8/31/2020,Ethiopia,26.3384401,35.47720061,0.244986453,28.06233797,12.93612169,864,9.672515303,15.26091527,1,Avian Influenza,Respiratory distress
10/31/2013,Kenya,20.33175658,66.70324477,0.40182733,35.52433681,66.83863078,308,423.2764007,86.24506252,2,Lumpy Skin Disease,Nodules on the skin
11/30/2022,Tanzania,37.80010684,34.36578038,0.825177689,19.74985927,87.4940343,316,384.4911629,34.40326929,4,Anthrax,Bloody discharge
6/30/2015,Ethiopia,37.94431516,32.71824059,0.556622644,23.159332,93.74614419,733,118.6602549,27.74387139,4,Rift Valley Fever,Nasal discharge and salivation
4/30/2019,Tanzania,20.48631933,76.58477764,0.891968186,20.86510922,57.22657782,400,270.4130139,82.85769782,4,Avian Influenza,Respiratory distress
1/31/2011,South Africa,27.27259205,37.62363076,0.265066975,13.69711989,76.59697362,975,276.9477248,99.40032436,4,Lumpy Skin Disease,Nodules on the skin
5/31/2021,Ethiopia,22.8016803,70.35110736,0.231412638,27.84611377,32.55649779,115,67.22461226,40.6981022,5,East Coast Fever,Enlarged lymph nodes
2/28/2017,Kenya,33.83790395,84.32103852,0.792405701,19.66239073,69.77495061,63,5.506171661,36.57504603,2,East Coast Fever,Enlarged lymph nodes
6/30/2017,Tanzania,24.74498175,31.09330954,0.634914576,27.12925008,10.06662526,788,119.2769007,48.20746827,1,Anthrax,Bloody discharge
10/31/2014,Uganda,37.54678707,35.87004964,0.529685233,37.39489795,39.54026579,535,396.6850912,56.91107192,4,Avian Influenza,Respiratory distress
6/30/2014,South Africa,22.75041888,32.44372814,0.643281855,26.23502662,74.06532803,348,15.66782843,45.49287914,1,Avian Influenza,Respiratory distress
12/31/2010,Tanzania,34.06037918,51.61143848,0.468623014,15.91027237,94.89687739,302,330.749239,87.97948008,4,Rift Valley Fever,Nasal discharge and salivation
2/28/2011,Uganda,39.43564165,61.3345956,0.391415889,31.03812024,14.8712044,868,299.1404555,77.71849864,2,Avian Influenza,Respiratory distress
1/31/2020,Uganda,28.56368297,60.31514235,0.379094613,18.06582607,86.34222245,91,45.18923653,26.06013687,4,Rift Valley Fever,Nasal discharge and salivation
1/31/2020,Uganda,28.56368297,60.31514235,0.379094613,18.06582607,86.34222245,91,45.18923653,26.06013687,4,Rift Valley Fever,Nasal discharge and salivation
8/31/2011,Ethiopia,20.73773895,61.88127789,0.165407226,33.74400566,3.224461524,452,362.6884534,93.31073478,2,Lumpy Skin Disease,Nodules on the skin
3/31/2016,South Africa,32.84063292,31.59067863,0.249253619,23.8088461,34.09014519,677,219.145529,62.28388479,3,Avian Influenza,Respiratory distress
12/31/2021,Ethiopia,25.87183689,62.97173294,0.753279552,18.90142354,3.105671674,89,78.92575855,68.07608538,4,Anthrax,Bloody discharge
10/31/2015,Ethiopia,26.98419149,81.38939047,0.289781433,16.73190346,26.96414039,893,316.6377261,65.56165817,2,East Coast Fever,Enlarged lymph nodes
8/31/2014,Kenya,22.26947042,72.21947156,0.498753759,30.77554825,60.71205884,939,303.4881681,77.21881445,3,East Coast Fever,Enlarged lymph nodes
5/31/2018,Ethiopia,39.4602111,67.73657081,0.19186946,7.347676709,69.53537989,300,127.0113633,68.19453221,5,East Coast Fever,Enlarged lymph nodes
12/31/2020,South Africa,33.92059593,64.40627329,0.773463021,28.51624603,72.75191038,744,127.8580654,70.82571206,5,Anthrax,Bloody discharge
3/31/2019,Kenya,25.61544725,52.32108515,0.150699976,32.14346658,18.87695917,552,279.5119845,70.42822026,4,Avian Influenza,Respiratory distress
5/31/2020,Kenya,25.88897784,53.35210072,0.199437779,5.888522448,4.663755837,935,199.2921152,67.4164714,3,Rift Valley Fever,Nasal discharge and salivation
12/31/2020,South Africa,33.92059593,64.40627329,0.773463021,28.51624603,72.75191038,744,127.8580654,70.82571206,5,Anthrax,Bloody discharge
8/31/2011,Ethiopia,20.73773895,61.88127789,0.165407226,33.74400566,3.224461524,452,362.6884534,93.31073478,2,Lumpy Skin Disease,Nodules on the skin
6/30/2021,Uganda,30.36659305,75.14247177,0.751659776,13.33639734,62.96324627,665,72.62763866,83.68363514,1,East Coast Fever,Enlarged lymph nodes
12/31/2011,Kenya,25.57292928,88.55112477,0.321502119,18.90505517,26.53088086,569,308.2552689,38.54761451,4,Lumpy Skin Disease,Nodules on the skin
10/31/2022,Kenya,35.91585339,72.05814789,0.534842289,25.40645463,63.12304086,970,432.4398091,67.61514014,5,Anthrax,Bloody discharge
1/31/2013,Tanzania,32.67059422,39.38622256,0.670679669,25.41871282,65.49061845,491,41.68171829,49.99775075,2,East Coast Fever,Enlarged lymph nodes
6/30/2014,South Africa,22.75041888,32.44372814,0.643281855,26.23502662,74.06532803,348,15.66782843,45.49287914,1,Avian Influenza,Respiratory distress
7/31/2018,Ethiopia,37.8409311,74.10426263,0.330904443,12.34669576,25.71713288,800,190.2999364,42.46952672,2,Avian Influenza,Respiratory distress
5/31/2022,Uganda,30.22684798,38.57950092,0.698087504,5.455067323,99.79547694,105,489.3370124,65.54402051,5,Rift Valley Fever,Nasal discharge and salivation
2/28/2013,South Africa,30.71549368,45.01457389,0.81616547,19.02979959,83.14443857,207,202.2274192,11.32003513,1,East Coast Fever,Enlarged lymph nodes
4/30/2010,South Africa,30.21494605,32.15653643,0.237855897,16.72169651,38.58954841,706,306.8591433,94.67878207,2,Lumpy Skin Disease,Nodules on the skin
9/30/2014,Ethiopia,38.49387237,58.45042975,0.16953623,37.70284552,25.28956186,692,299.2640591,74.39418164,3,Lumpy Skin Disease,Nodules on the skin
8/31/2011,Ethiopia,20.73773895,61.88127789,0.165407226,33.74400566,3.224461524,452,362.6884534,93.31073478,2,Lumpy Skin Disease,Nodules on the skin
5/31/2011,Ethiopia,29.94497012,67.37342855,0.131449712,31.686054,89.56067046,773,21.33629894,19.81986686,5,Rift Valley Fever,Nasal discharge and salivation
11/30/2019,Kenya,20.30913233,36.18743213,0.477260951,35.16249674,94.48238242,309,113.1258873,52.56027691,3,East Coast Fever,Enlarged lymph nodes
11/30/2015,Kenya,34.51911358,69.5216179,0.181425978,33.0998707,59.91271514,235,187.05147,57.07762521,2,Lumpy Skin Disease,Nodules on the skin
4/30/2010,South Africa,30.21494605,32.15653643,0.237855897,16.72169651,38.58954841,706,306.8591433,94.67878207,2,Lumpy Skin Disease,Nodules on the skin
2/28/2011,Uganda,39.43564165,61.3345956,0.391415889,31.03812024,14.8712044,868,299.1404555,77.71849864,2,Avian Influenza,Respiratory distress
3/31/2010,Tanzania,20.13904261,64.69680846,0.634046191,26.96978186,26.68291991,538,308.6856863,64.05485883,5,East Coast Fever,Enlarged lymph nodes
8/31/2016,Ethiopia,20.18394103,68.59729311,0.519609112,20.82762793,50.0536403,500,331.6480182,84.0856614,2,Avian Influenza,Respiratory distress
7/31/2014,Tanzania,26.82132702,81.32763504,0.731336991,19.8445735,9.197068125,959,198.3620698,59.44728146,1,Rift Valley Fever,Nasal discharge and salivation
12/31/2020,South Africa,33.92059593,64.40627329,0.773463021,28.51624603,72.75191038,744,127.8580654,70.82571206,5,Anthrax,Bloody discharge
12/31/2019,Uganda,38.56637125,84.1531744,0.429472731,38.11404117,47.94720745,85,90.8252083,58.18222917,2,Anthrax,Bloody discharge
12/31/2011,Kenya,25.57292928,88.55112477,0.321502119,18.90505517,26.53088086,569,308.2552689,38.54761451,4,Lumpy Skin Disease,Nodules on the skin
10/31/2016,Kenya,33.27003538,62.73700736,0.885902894,20.83538306,44.04790652,385,326.4094995,21.09003888,2,Anthrax,Bloody discharge
3/31/2022,Ethiopia,37.34144637,51.05490075,0.470143829,15.26017056,93.96770215,142,128.3979558,43.02604713,4,East Coast Fever,Enlarged lymph nodes
12/31/2014,Uganda,33.19968092,58.40830625,0.696351579,8.963331604,36.21159893,377,496.0745249,48.77758824,4,Rift Valley Fever,Nasal discharge and salivation
3/31/2022,Ethiopia,37.34144637,51.05490075,0.470143829,15.26017056,93.96770215,142,128.3979558,43.02604713,4,East Coast Fever,Enlarged lymph nodes
1/31/2014,Uganda,32.90345581,51.35836072,0.269158406,29.38277884,42.45828196,26,384.0942201,19.80265077,1,Avian Influenza,Respiratory distress
3/31/2015,South Africa,30.59301157,53.91028406,0.327020725,9.363193842,57.07405939,557,192.5397288,95.9194027,3,Lumpy Skin Disease,Nodules on the skin
2/28/2019,Tanzania,34.44904231,54.75706061,0.207531742,7.29980238,92.59958342,87,432.2438727,86.60568348,4,East Coast Fever,Enlarged lymph nodes
6/30/2022,Ethiopia,30.03032589,75.6906379,0.502176312,7.99279858,35.72046973,886,187.7740868,49.81689428,4,Lumpy Skin Disease,Nodules on the skin
8/31/2022,Kenya,32.99927862,36.06736057,0.819659659,5.928627136,40.79116045,304,122.8294979,70.26423545,4,Lumpy Skin Disease,Nodules on the skin
1/31/2019,Tanzania,23.90485976,89.43030852,0.369283423,24.76943966,70.85194208,690,223.7379546,75.87622608,5,East Coast Fever,Enlarged lymph nodes
4/30/2016,Uganda,21.6827993,65.14653488,0.328076135,37.19494657,77.32030817,943,49.59930288,18.06637052,4,Lumpy Skin Disease,Nodules on the skin
6/30/2012,Ethiopia,24.84110543,34.70738288,0.487618388,27.44016715,27.95842533,162,22.7871672,66.71878735,5,Anthrax,Bloody discharge
10/31/2014,Uganda,37.54678707,35.87004964,0.529685233,37.39489795,39.54026579,535,396.6850912,56.91107192,4,Avian Influenza,Respiratory distress
9/30/2019,Uganda,38.2972878,75.05226407,0.708182288,10.43340861,92.51522334,462,26.79672178,31.17120263,4,Lumpy Skin Disease,Nodules on the skin
4/30/2018,Kenya,24.87979287,71.80422992,0.293927786,25.83847561,66.2195533,10,474.3430941,81.43694653,1,Rift Valley Fever,Nasal discharge and salivation
7/31/2011,Kenya,25.69680989,33.10090327,0.602320312,16.97286121,43.09613694,952,219.865001,78.86717781,1,Lumpy Skin Disease,Nodules on the skin
10/31/2017,Tanzania,36.98446821,49.13853782,0.323983275,38.63746111,45.15457152,337,166.1137921,57.38492747,1,East Coast Fever,Enlarged lymph nodes
5/31/2019,South Africa,32.90944592,50.44821242,0.357883076,23.35365943,91.63334146,587,18.0596952,78.99905217,5,Avian Influenza,Respiratory distress
2/28/2022,Ethiopia,36.20226789,83.26225097,0.401555544,12.17445034,53.36477627,121,481.7100696,46.10691226,5,Avian Influenza,Respiratory distress
3/31/2015,South Africa,30.59301157,53.91028406,0.327020725,9.363193842,57.07405939,557,192.5397288,95.9194027,3,Lumpy Skin Disease,Nodules on the skin
8/31/2019,South Africa,39.07857154,55.73964164,0.645202178,24.5874116,30.43755173,671,116.3343253,23.76854207,5,Rift Valley Fever,Nasal discharge and salivation
5/31/2019,South Africa,32.90944592,50.44821242,0.357883076,23.35365943,91.63334146,587,18.0596952,78.99905217,5,Avian Influenza,Respiratory distress
11/30/2013,Uganda,30.24186117,55.17600375,0.116056958,37.62413989,18.36175658,519,314.7536443,92.28128644,5,Rift Valley Fever,Nasal discharge and salivation
9/30/2014,Ethiopia,38.49387237,58.45042975,0.16953623,37.70284552,25.28956186,692,299.2640591,74.39418164,3,Lumpy Skin Disease,Nodules on the skin
10/31/2019,Tanzania,27.40317401,75.27257245,0.576510992,11.36748457,97.13476627,591,320.3614805,88.23336622,5,East Coast Fever,Enlarged lymph nodes
9/30/2013,Uganda,33.55128724,63.26124315,0.315394585,5.633856434,60.45116918,604,208.5377757,95.63307037,1,Rift Valley Fever,Nasal discharge and salivation
1/31/2022,Ethiopia,36.18722311,56.49183008,0.451307927,28.38297978,87.5954656,685,118.0460854,63.61756554,1,Rift Valley Fever,Nasal discharge and salivation
4/30/2010,South Africa,30.21494605,32.15653643,0.237855897,16.72169651,38.58954841,706,306.8591433,94.67878207,2,Lumpy Skin Disease,Nodules on the skin
4/30/2022,Tanzania,38.26481105,37.02402099,0.341102299,36.37175365,80.07954034,993,331.1545428,40.92044273,4,Avian Influenza,Respiratory distress
11/30/2013,Uganda,30.24186117,55.17600375,0.116056958,37.62413989,18.36175658,519,314.7536443,92.28128644,5,Rift Valley Fever,Nasal discharge and salivation
11/30/2021,Ethiopia,27.18982302,33.4535256,0.413956086,34.05769526,87.13978852,870,365.683908,33.84059025,4,Lumpy Skin Disease,Nodules on the skin
11/30/2013,Uganda,30.24186117,55.17600375,0.116056958,37.62413989,18.36175658,519,314.7536443,92.28128644,5,Rift Valley Fever,Nasal discharge and salivation
6/30/2016,Ethiopia,37.97108377,64.52845067,0.81741234,17.14336207,8.438640392,830,296.8662815,45.99146861,5,Avian Influenza,Respiratory distress
4/30/2020,Tanzania,37.06018911,83.73139371,0.872021529,19.30569599,83.06263194,713,344.4157251,28.55675481,5,East Coast Fever,Enlarged lymph nodes
3/31/2016,South Africa,32.84063292,31.59067863,0.249253619,23.8088461,34.09014519,677,219.145529,62.28388479,3,Avian Influenza,Respiratory distress
7/31/2018,Ethiopia,37.8409311,74.10426263,0.330904443,12.34669576,25.71713288,800,190.2999364,42.46952672,2,Avian Influenza,Respiratory distress
5/31/2021,Ethiopia,22.8016803,70.35110736,0.231412638,27.84611377,32.55649779,115,67.22461226,40.6981022,5,East Coast Fever,Enlarged lymph nodes
6/30/2017,Tanzania,24.74498175,31.09330954,0.634914576,27.12925008,10.06662526,788,119.2769007,48.20746827,1,Anthrax,Bloody discharge
12/31/2021,Ethiopia,25.87183689,62.97173294,0.753279552,18.90142354,3.105671674,89,78.92575855,68.07608538,4,Anthrax,Bloody discharge
9/30/2015,Ethiopia,26.78059582,60.18817551,0.584619855,6.916657359,4.087130371,272,301.3258364,24.9698447,1,Avian Influenza,Respiratory distress
1/31/2015,Uganda,36.344444,40.39211219,0.445327637,39.46944196,72.18554461,898,142.6434098,90.70428609,2,Rift Valley Fever,Nasal discharge and salivation
6/30/2021,Uganda,30.36659305,75.14247177,0.751659776,13.33639734,62.96324627,665,72.62763866,83.68363514,1,East Coast Fever,Enlarged lymph nodes
2/28/2014,Ethiopia,23.48732858,75.47076663,0.361997882,37.28747834,38.9307143,685,252.9175961,23.40926704,5,Avian Influenza,Respiratory distress
3/31/2010,Tanzania,20.13904261,64.69680846,0.634046191,26.96978186,26.68291991,538,308.6856863,64.05485883,5,East Coast Fever,Enlarged lymph nodes
11/30/2018,Tanzania,31.53807769,75.0368851,0.526071546,6.279238375,94.46187463,778,391.1133746,33.0080498,1,Anthrax,Bloody discharge
5/31/2019,South Africa,32.90944592,50.44821242,0.357883076,23.35365943,91.63334146,587,18.0596952,78.99905217,5,Avian Influenza,Respiratory distress
10/31/2017,Tanzania,36.98446821,49.13853782,0.323983275,38.63746111,45.15457152,337,166.1137921,57.38492747,1,East Coast Fever,Enlarged lymph nodes
10/31/2019,Tanzania,27.40317401,75.27257245,0.576510992,11.36748457,97.13476627,591,320.3614805,88.23336622,5,East Coast Fever,Enlarged lymph nodes
9/30/2016,South Africa,22.02943086,57.49517343,0.428317462,12.8611688,69.15183725,116,48.53549247,57.02329365,3,Lumpy Skin Disease,Nodules on the skin
1/31/2019,Tanzania,23.90485976,89.43030852,0.369283423,24.76943966,70.85194208,690,223.7379546,75.87622608,5,East Coast Fever,Enlarged lymph nodes
3/31/2014,Ethiopia,33.81875476,30.86360932,0.195809705,29.7533522,52.37285282,561,272.1069612,57.39614175,2,Avian Influenza,Respiratory distress
3/31/2022,Ethiopia,37.34144637,51.05490075,0.470143829,15.26017056,93.96770215,142,128.3979558,43.02604713,4,East Coast Fever,Enlarged lymph nodes
11/30/2012,Tanzania,27.35566265,54.53717666,0.129346562,11.35592009,28.13146685,785,271.6968392,63.68369275,5,East Coast Fever,Enlarged lymph nodes
10/31/2013,Kenya,20.33175658,66.70324477,0.40182733,35.52433681,66.83863078,308,423.2764007,86.24506252,2,Lumpy Skin Disease,Nodules on the skin
10/31/2022,Kenya,35.91585339,72.05814789,0.534842289,25.40645463,63.12304086,970,432.4398091,67.61514014,5,Anthrax,Bloody discharge
9/30/2015,Ethiopia,26.78059582,60.18817551,0.584619855,6.916657359,4.087130371,272,301.3258364,24.9698447,1,Avian Influenza,Respiratory distress
9/30/2017,Tanzania,32.99265798,34.27131891,0.557290152,11.23125884,95.07349803,319,221.5701625,43.61587147,4,Anthrax,Bloody discharge
4/30/2015,Uganda,24.83704582,66.95100588,0.390465837,37.22946589,48.12898982,526,233.4405907,68.92237733,4,East Coast Fever,Enlarged lymph nodes
1/31/2014,Uganda,32.90345581,51.35836072,0.269158406,29.38277884,42.45828196,26,384.0942201,19.80265077,1,Avian Influenza,Respiratory distress
5/31/2022,Uganda,30.22684798,38.57950092,0.698087504,5.455067323,99.79547694,105,489.3370124,65.54402051,5,Rift Valley Fever,Nasal discharge and salivation
2/29/2016,Uganda,35.59751092,68.54515669,0.228545099,18.93590428,60.08744204,520,35.49726031,57.9034192,2,East Coast Fever,Enlarged lymph nodes
5/31/2010,South Africa,28.34822006,57.93588109,0.253831215,9.874522543,59.43919931,848,150.1191073,84.41549953,3,Lumpy Skin Disease,Nodules on the skin
4/30/2018,Kenya,24.87979287,71.80422992,0.293927786,25.83847561,66.2195533,10,474.3430941,81.43694653,1,Rift Valley Fever,Nasal discharge and salivation
10/31/2015,Ethiopia,26.98419149,81.38939047,0.289781433,16.73190346,26.96414039,893,316.6377261,65.56165817,2,East Coast Fever,Enlarged lymph nodes
6/30/2017,Tanzania,24.74498175,31.09330954,0.634914576,27.12925008,10.06662526,788,119.2769007,48.20746827,1,Anthrax,Bloody discharge
4/30/2010,South Africa,30.21494605,32.15653643,0.237855897,16.72169651,38.58954841,706,306.8591433,94.67878207,2,Lumpy Skin Disease,Nodules on the skin
6/30/2020,Ethiopia,27.70195457,30.65025909,0.68469398,10.46534091,60.03071797,927,240.4686437,33.11954629,2,Anthrax,Bloody discharge
3/31/2013,Kenya,21.8057954,62.95359988,0.509341954,21.17020313,21.4357059,538,111.0600013,62.83555369,5,Rift Valley Fever,Nasal discharge and salivation
9/30/2020,South Africa,23.38985493,49.15881826,0.153197014,5.948359738,8.618366961,1,162.2421979,22.75969542,2,Rift Valley Fever,Nasal discharge and salivation
12/31/2011,Kenya,25.57292928,88.55112477,0.321502119,18.90505517,26.53088086,569,308.2552689,38.54761451,4,Lumpy Skin Disease,Nodules on the skin
9/30/2014,Ethiopia,38.49387237,58.45042975,0.16953623,37.70284552,25.28956186,692,299.2640591,74.39418164,3,Lumpy Skin Disease,Nodules on the skin
4/30/2018,Kenya,24.87979287,71.80422992,0.293927786,25.83847561,66.2195533,10,474.3430941,81.43694653,1,Rift Valley Fever,Nasal discharge and salivation
10/31/2015,Ethiopia,26.98419149,81.38939047,0.289781433,16.73190346,26.96414039,893,316.6377261,65.56165817,2,East Coast Fever,Enlarged lymph nodes
5/31/2013,Ethiopia,26.4156013,69.6118426,0.185737609,10.36729911,14.55167738,59,102.5855619,67.83183721,4,Avian Influenza,Respiratory distress
12/31/2014,Uganda,33.19968092,58.40830625,0.696351579,8.963331604,36.21159893,377,496.0745249,48.77758824,4,Rift Valley Fever,Nasal discharge and salivation
12/31/2018,Ethiopia,29.85035388,78.41008436,0.141458829,21.52234308,4.903254325,213,352.9874115,37.18544517,4,Avian Influenza,Respiratory distress
9/30/2014,Ethiopia,38.49387237,58.45042975,0.16953623,37.70284552,25.28956186,692,299.2640591,74.39418164,3,Lumpy Skin Disease,Nodules on the skin
7/31/2012,Tanzania,33.44271095,31.5210446,0.594603817,29.28819556,2.820676978,831,81.67459953,64.88486249,4,Lumpy Skin Disease,Nodules on the skin
12/31/2016,South Africa,23.21616103,53.16615827,0.418284479,11.17354453,82.09112945,583,200.1239271,81.98029859,2,Avian Influenza,Respiratory distress
8/31/2022,Kenya,32.99927862,36.06736057,0.819659659,5.928627136,40.79116045,304,122.8294979,70.26423545,4,Lumpy Skin Disease,Nodules on the skin
12/31/2012,South Africa,32.64611661,40.3976592,0.301949555,36.79576965,55.86362225,270,247.1451465,59.11181996,4,Rift Valley Fever,Nasal discharge and salivation
8/31/2022,Kenya,32.99927862,36.06736057,0.819659659,5.928627136,40.79116045,304,122.8294979,70.26423545,4,Lumpy Skin Disease,Nodules on the skin
12/31/2018,Ethiopia,29.85035388,78.41008436,0.141458829,21.52234308,4.903254325,213,352.9874115,37.18544517,4,Avian Influenza,Respiratory distress
10/31/2018,South Africa,30.05274186,40.64637263,0.484912081,11.67407022,98.77913279,391,267.2224507,60.09733521,4,Rift Valley Fever,Nasal discharge and salivation
2/28/2017,Kenya,33.83790395,84.32103852,0.792405701,19.66239073,69.77495061,63,5.506171661,36.57504603,2,East Coast Fever,Enlarged lymph nodes
3/31/2021,Tanzania,32.30014453,47.5926463,0.261301856,32.99706299,54.40963795,928,266.5902494,75.20651663,1,Avian Influenza,Respiratory distress
2/28/2011,Uganda,39.43564165,61.3345956,0.391415889,31.03812024,14.8712044,868,299.1404555,77.71849864,2,Avian Influenza,Respiratory distress
12/31/2019,Uganda,38.56637125,84.1531744,0.429472731,38.11404117,47.94720745,85,90.8252083,58.18222917,2,Anthrax,Bloody discharge
6/30/2021,Uganda,30.36659305,75.14247177,0.751659776,13.33639734,62.96324627,665,72.62763866,83.68363514,1,East Coast Fever,Enlarged lymph nodes
8/31/2016,Ethiopia,20.18394103,68.59729311,0.519609112,20.82762793,50.0536403,500,331.6480182,84.0856614,2,Avian Influenza,Respiratory distress
